parola,spiegazione
A ADADA,https://www.youtube.com/playlist?list=PLEL0765p_T-UZwY-5CjCL0xVC20YqarqE
ALLY & FATTO ORCHESTRA,https://www.youtube.com/playlist?list=PLEL0765p_T-XxFcHulg9q4zu0TH3i7HJ7
ANALISI FRAGORE RIBELLE,https://www.youtube.com/playlist?list=PLEL0765p_T-UssFRHI4KwpiS3SnlxpwcC
CITIES SKYLINES - FRAMUELOPOLI,https://www.youtube.com/playlist?list=PLEL0765p_T-VuV3I4O8L24gK5Lc_495dX
CONTESTO 0,https://www.youtube.com/playlist?list=PLEL0765p_T-WqIYgkAVqex-UU3e9eO2EP
FRAMUCRAFT HARDCORE,https://www.youtube.com/playlist?list=PLEL0765p_T-XnA3zmhZpl2XFBDoL9gvkc
FRAMUELE SANCO PODCAST,https://www.youtube.com/playlist?list=PLEL0765p_T-Wmfv3t5FSIBV6SbIpUx0fF
I MIEI OGGETTI	
INGLISH RIECSCIONS,https://www.youtube.com/playlist?list=PLEL0765p_T-VUtXe5CAkXqGUK8oHo_ja1
L'ONNIPATENTE,https://www.youtube.com/playlist?list=PLEL0765p_T-UQVDycUVAK4IUJVqGsNG67
LEGGO UN LIBRO 1,https://www.youtube.com/playlist?list=PLEL0765p_T-WL_6o4--RguKYNGJNVXBu7
LEGGO UN LIBRO 2,https://www.youtube.com/playlist?list=PLEL0765p_T-UepgE6lR5QaxLBWG1k9mYt
LIVE INSTAGRAM DI GIACOMO	
MANGIANDO BARRETTE,https://www.youtube.com/playlist?list=PLEL0765p_T-UwhcD3AK50WKMn74pr08FA
POV,https://www.youtube.com/playlist?list=PLEL0765p_T-X2kLBJwAxFzy034sMNt414
PRANZO GURMÉ,https://www.youtube.com/playlist?list=PLEL0765p_T-VwhZlQLZdesJCBorTQrsPn
PROVO A SUONARE...	
QUIZ PATENTE B,https://www.youtube.com/playlist?list=PLEL0765p_T-U9sbe7-nqVBdbn2HUXgJGc
RECENSIONI CD,https://www.youtube.com/playlist?list=PLEL0765p_T-WB5VcgIoAdnZ0t3RTDdXBK
RIENTRO A CASA BRIGLIOTTI,https://www.youtube.com/playlist?list=PLEL0765p_T-XJ7AyCKxaxvzvMmnACcsOv
RISPONDO ALLE DOMANDE,https://www.youtube.com/playlist?list=PLEL0765p_T-VNgyBz-oLieDmMVc_vXvEx
SPIEGAZIONI INTEGRESSATNI,https://www.youtube.com/playlist?list=PLEL0765p_T-U_I7vBTRplVMrm_9bPTsfW
TG MARSTON,https://www.youtube.com/playlist?list=PLEL0765p_T-W8t-gsnCy4HWM-aO0HDQB2
TIER LIST POKEMON,https://www.youtube.com/playlist?list=PLEL0765p_T-X9sCH0dIaG7moduwUuN50X
TIME LAPSE,https://www.youtube.com/playlist?list=PLEL0765p_T-WCFrflkFJzt6tnrVT6CbR_
